orgao;uniorcam;funcao;subfuncao;programa;projativ;rubrica;rubrica_f;rv;empenhado_1bim;empenhado_2bim;empenhado_3bim;empenhado_4bim;empenhado_5bim;empenhado_6bim;liquidado_1bim;liquidado_2bim;liquidado_3bim;liquidado_4bim;liquidado_5bim;liquidado_6bim;pago_1bim;pago_2bim;pago_3bim;pago_4bim;pago_5bim;pago_6bim
11;1101;28;845;0;2;317170010000000;"31 71 70 01 00 00 00";1;9.678,14;0,00;0,00;0,00;0,00;0,00;806,51;1.613,02;1.613,02;1.613,02;2.419,53;1.613,04;806,51;1.613,02;1.613,02;1.613,02;1.613,02;2.419,55
11;1101;28;845;0;2;337170010000000;"33 71 70 01 00 00 00";1;2.972,52;0,00;0,00;0,00;0,00;0,00;247,71;495,42;495,42;495,42;743,13;495,42;247,71;495,42;495,42;495,42;495,42;743,13
11;1101;28;845;0;2;447170010000000;"44 71 70 01 00 00 00";1;343,18;0,00;0,00;0,00;0,00;0,00;28,60;57,20;57,20;57,20;85,80;57,18;28,60;57,20;57,20;57,20;57,20;85,78
11;1101;28;845;0;3;337170020000000;"33 71 70 02 00 00 00";1;18.079,20;0,00;0,00;0,00;0,00;-12,00;1.505,60;1.505,60;3.011,20;4.516,80;3.011,20;4.516,80;0,00;3.011,20;3.011,20;4.516,80;3.011,20;4.516,80
10;1002;20;608;4;4;333041390200000;"33 30 41 39 02 00 00";1;0,00;18.260,64;0,00;9.964,00;0,00;14.840,00;0,00;0,00;11.819,52;16.405,12;0,00;14.840,00;0,00;0,00;11.819,52;16.405,12;0,00;14.840,00
11;1101;28;843;0;5;469171990100000;"46 91 71 99 01 00 00";1;129.647,00;0,00;0,00;0,00;0,00;0,00;129.647,00;0,00;0,00;0,00;0,00;0,00;129.647,00;0,00;0,00;0,00;0,00;0,00
11;1101;28;846;0;6;339093990400000;"33 90 93 99 04 00 00";1;18,42;0,00;799,14;160,39;0,00;0,00;18,42;0,00;799,14;160,39;0,00;0,00;18,42;0,00;799,14;160,39;0,00;0,00
11;1101;28;846;0;6;339093990400000;"33 90 93 99 04 00 00";1024;9.726,52;0,00;0,00;0,00;0,00;0,00;9.726,52;0,00;0,00;0,00;0,00;0,00;9.726,52;0,00;0,00;0,00;0,00;0,00
11;1101;28;846;0;6;339093990400000;"33 90 93 99 04 00 00";1039;0,00;0,00;0,00;0,00;30.426,95;0,00;0,00;0,00;0,00;0,00;30.426,95;0,00;0,00;0,00;0,00;0,00;30.426,95;0,00
11;1101;28;846;0;6;339093990400000;"33 90 93 99 04 00 00";1202;0,00;0,00;0,00;1.542,21;0,00;0,00;0,00;0,00;0,00;1.542,21;0,00;0,00;0,00;0,00;0,00;1.542,21;0,00;0,00
11;1101;28;846;0;7;319092050000000;"31 90 92 05 00 00 00";1;0,00;0,00;0,00;0,00;10.910,42;0,00;0,00;0,00;0,00;0,00;10.910,42;0,00;0,00;0,00;0,00;0,00;10.910,42;0,00
11;1101;28;846;0;7;339047120000000;"33 90 47 12 00 00 00";1;250.000,00;60.000,00;0,00;0,00;-13.300,00;-43.406,96;47.950,81;35.575,91;39.930,95;40.544,33;42.493,87;46.797,17;33.733,56;37.139,86;38.274,77;45.854,45;30.906,34;49.049,68
11;1101;28;846;0;7;339047100000000;"33 90 47 10 00 00 00";1;165,88;0,00;467,36;82,94;82,94;82,94;165,88;0,00;467,36;82,94;82,94;82,94;165,88;0,00;384,42;165,88;0,00;165,88
11;1101;28;846;0;7;339047030000000;"33 90 47 03 00 00 00";1;240,00;810,00;480,00;570,00;480,00;1.610,00;0,00;1.050,00;480,00;570,00;480,00;1.610,00;0,00;1.050,00;480,00;570,00;480,00;810,00
11;1101;28;846;0;7;339047160000000;"33 90 47 16 00 00 00";1;0,00;136,79;0,00;0,00;3.708,49;0,00;0,00;136,79;0,00;0,00;3.708,49;0,00;0,00;136,79;0,00;0,00;3.708,49;0,00
11;1101;28;846;0;7;339047150000000;"33 90 47 15 00 00 00";1;0,00;0,00;0,00;0,00;2.182,03;0,00;0,00;0,00;0,00;0,00;2.182,03;0,00;0,00;0,00;0,00;0,00;2.182,03;0,00
11;1101;28;846;0;7;339047120000000;"33 90 47 12 00 00 00";1018;300,00;0,00;0,00;0,00;-141,98;0,00;50,32;43,07;0,00;42,96;21,67;0,00;50,32;43,07;0,00;42,96;21,67;0,00
11;1101;28;846;0;8;339091020000000;"33 90 91 02 00 00 00";1;0,00;0,00;0,00;23.581,88;8.490,79;0,00;0,00;0,00;0,00;23.581,88;8.490,79;0,00;0,00;0,00;0,00;23.581,88;8.490,79;0,00
11;1101;28;846;0;8;339091990000000;"33 90 91 99 00 00 00";1;0,00;0,00;448,40;0,00;4.849,21;9.993,06;0,00;0,00;448,40;0,00;4.849,21;9.993,06;0,00;0,00;448,40;0,00;0,00;14.842,27
11;1101;28;846;0;9;319113990100000;"31 91 13 99 01 00 00";1;181.822,36;176.641,06;189.735,16;189.460,60;188.112,18;270.592,95;181.822,36;176.641,06;189.735,16;189.460,60;188.112,18;270.592,95;98.339,09;168.720,47;187.831,31;189.015,36;187.212,41;365.245,67
12;1201;9;272;20;11;319001010000000;"31 90 01 01 00 00 00";50;200.322,46;199.724,39;199.091,06;212.556,53;218.388,34;218.388,34;200.322,46;199.724,39;199.091,06;212.556,53;218.388,34;218.388,34;200.322,46;199.724,39;199.091,06;212.556,53;218.388,34;218.388,34
12;1201;9;272;20;11;319001060000000;"31 90 01 06 00 00 00";50;0,00;0,00;0,00;0,00;0,00;109.194,17;0,00;0,00;0,00;0,00;0,00;109.194,17;0,00;0,00;0,00;0,00;0,00;109.194,17
12;1201;9;272;20;12;319003030000000;"31 90 03 03 00 00 00";50;0,00;76,92;0,00;0,00;0,00;42.141,88;0,00;76,92;0,00;0,00;0,00;42.141,88;0,00;76,92;0,00;0,00;0,00;42.141,88
12;1201;9;272;20;12;319003010000000;"31 90 03 01 00 00 00";50;88.518,78;87.248,28;84.283,76;84.283,76;84.283,76;84.283,76;88.518,78;87.248,28;84.283,76;84.283,76;84.283,76;84.283,76;88.518,78;87.248,28;84.283,76;84.283,76;84.283,76;84.283,76
12;1201;9;272;20;13;319005000106000;"31 90 05 00 01 06 00";50;0,00;0,00;0,00;0,00;0,00;20.785,90;0,00;0,00;0,00;0,00;0,00;20.785,90;0,00;0,00;0,00;0,00;0,00;20.785,90
12;1201;9;272;20;13;319005000105000;"31 90 05 00 01 05 00";50;1.014,72;951,30;824,46;824,46;792,75;761,04;1.014,72;951,30;824,46;824,46;792,75;761,04;1.014,72;951,30;824,46;824,46;792,75;761,04
12;1201;9;272;20;13;319005000101000;"31 90 05 00 01 01 00";50;57.227,75;44.627,13;65.658,83;61.670,51;45.079,94;59.188,57;57.227,75;44.627,13;65.658,83;61.670,51;45.079,94;59.188,57;57.227,75;44.627,13;65.658,83;61.670,51;45.079,94;59.188,57
12;1201;9;272;20;13;319005000103000;"31 90 05 00 01 03 00";50;0,00;0,00;2.986,48;3.947,33;8.227,48;19.847,51;0,00;0,00;2.986,48;3.947,33;8.227,48;19.847,51;0,00;0,00;2.986,48;3.947,33;8.227,48;19.847,51
10;1005;6;182;14;15;335043010000000;"33 50 43 01 00 00 00";1;0,00;0,00;3.000,00;0,00;0,00;0,00;0,00;0,00;3.000,00;0,00;0,00;0,00;0,00;0,00;3.000,00;0,00;0,00;0,00
11;1101;28;843;0;16;319113030100000;"31 91 13 03 01 00 00";1;0,00;0,00;130,39;0,00;0,00;0,00;0,00;0,00;130,39;0,00;0,00;0,00;0,00;0,00;130,39;0,00;0,00;0,00
11;1101;28;843;0;16;319113170100000;"31 91 13 17 01 00 00";1;0,00;0,00;255,99;0,00;0,00;0,00;0,00;0,00;255,99;0,00;0,00;0,00;0,00;0,00;255,99;0,00;0,00;0,00
2;204;8;243;11;17;335041990000000;"33 50 41 99 00 00 00";1050;0,00;0,00;0,00;9.202,00;0,00;0,00;0,00;0,00;0,00;9.202,00;0,00;0,00;0,00;0,00;0,00;9.202,00;0,00;0,00
2;204;8;243;11;17;445041990000000;"44 50 41 99 00 00 00";1050;0,00;0,00;0,00;1.491,00;0,00;0,00;0,00;0,00;0,00;1.491,00;0,00;0,00;0,00;0,00;0,00;1.491,00;0,00;0,00
10;1003;22;661;4;18;336045000000000;"33 60 45 00 00 00 00";1;0,00;0,00;0,00;10.500,00;0,00;0,00;0,00;0,00;0,00;3.000,00;3.000,00;4.500,00;0,00;0,00;0,00;3.000,00;3.000,00;4.500,00
5;502;12;361;2;1012;449030240000000;"44 90 30 24 00 00 00";20;0,00;380,00;0,00;0,00;0,00;0,00;0,00;0,00;380,00;0,00;0,00;0,00;0,00;0,00;380,00;0,00;0,00;0,00
5;502;12;361;2;1012;449039990000000;"44 90 39 99 00 00 00";20;0,00;550,00;0,00;0,00;0,00;0,00;0,00;0,00;550,00;0,00;0,00;0,00;0,00;0,00;550,00;0,00;0,00;0,00
5;502;12;361;2;1012;449051990200000;"44 90 51 99 02 00 00";20;38.108,97;0,00;6.222,47;0,00;-24.880,69;0,00;0,00;16.605,80;27.725,64;0,00;-24.880,69;0,00;0,00;16.605,80;27.725,64;0,00;-24.880,69;0,00
5;502;12;361;2;1012;449051990200000;"44 90 51 99 02 00 00";1010;0,00;0,00;0,00;0,00;24.880,69;0,00;0,00;0,00;0,00;0,00;24.880,69;0,00;0,00;0,00;0,00;0,00;24.880,69;0,00
5;502;12;361;2;1012;449052120000000;"44 90 52 12 00 00 00";20;0,00;576,00;0,00;0,00;0,00;0,00;0,00;0,00;576,00;0,00;0,00;0,00;0,00;0,00;576,00;0,00;0,00;0,00
5;502;12;361;2;1012;449052330000000;"44 90 52 33 00 00 00";20;0,00;890,00;0,00;0,00;0,00;0,00;0,00;0,00;890,00;0,00;0,00;0,00;0,00;0,00;890,00;0,00;0,00;0,00
5;502;12;365;2;1017;449039990000000;"44 90 39 99 00 00 00";20;0,00;2.378,30;0,00;0,00;0,00;0,00;0,00;0,00;2.378,30;0,00;0,00;0,00;0,00;0,00;2.378,30;0,00;0,00;0,00
5;502;12;365;2;1017;449052240000000;"44 90 52 24 00 00 00";20;0,00;6.831,70;0,00;0,00;0,00;0,00;0,00;0,00;6.831,70;0,00;0,00;0,00;0,00;0,00;6.831,70;0,00;0,00;0,00
5;502;12;365;2;1018;449030240000000;"44 90 30 24 00 00 00";20;0,00;0,00;0,00;0,00;0,00;14.483,90;0,00;0,00;0,00;0,00;0,00;3.636,47;0,00;0,00;0,00;0,00;0,00;3.636,47
5;502;12;365;2;1018;449039990000000;"44 90 39 99 00 00 00";20;0,00;0,00;0,00;0,00;0,00;5.329,91;0,00;0,00;0,00;0,00;0,00;1.277,68;0,00;0,00;0,00;0,00;0,00;1.277,68
5;502;12;365;2;1020;449051920000000;"44 90 51 92 00 00 00";20;46.166,42;0,00;0,00;0,00;-40.410,81;0,00;0,00;0,00;0,00;0,00;5.755,61;0,00;0,00;0,00;0,00;0,00;1.771,56;3.984,05
5;502;12;365;2;1020;449051920000000;"44 90 51 92 00 00 00";31;133.951,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;70.142,80;39.040,17;0,00;0,00;0,00;0,00;70.142,80;39.040,17;0,00;0,00
5;502;12;365;2;1020;449051920000000;"44 90 51 92 00 00 00";1010;0,00;0,00;0,00;0,00;40.410,81;0,00;0,00;0,00;0,00;0,00;40.410,81;0,00;0,00;0,00;0,00;0,00;40.410,81;0,00
5;503;13;392;3;1023;449052350000000;"44 90 52 35 00 00 00";1;0,00;0,00;0,00;2.559,00;0,00;0,00;0,00;0,00;0,00;0,00;2.559,00;0,00;0,00;0,00;0,00;0,00;0,00;2.559,00
5;503;13;392;3;1024;339030460000000;"33 90 30 46 00 00 00";1;0,00;0,00;0,00;0,00;3.450,00;0,00;0,00;0,00;0,00;0,00;3.450,00;0,00;0,00;0,00;0,00;0,00;3.450,00;0,00
5;503;13;392;3;1024;339039160000000;"33 90 39 16 00 00 00";1;0,00;0,00;0,00;60,00;0,00;0,00;0,00;0,00;0,00;60,00;0,00;0,00;0,00;0,00;0,00;60,00;0,00;0,00
5;504;12;782;2;1028;449052240000000;"44 90 52 24 00 00 00";20;7.980,00;0,00;0,00;0,00;0,00;0,00;0,00;7.980,00;0,00;0,00;0,00;0,00;0,00;7.980,00;0,00;0,00;0,00;0,00
6;602;17;512;17;1033;449039990000000;"44 90 39 99 00 00 00";1;0,00;0,00;0,00;0,00;0,00;1.200,00;0,00;0,00;0,00;0,00;0,00;1.200,00;0,00;0,00;0,00;0,00;0,00;1.200,00
6;603;26;782;17;1035;449039990000000;"44 90 39 99 00 00 00";1;0,00;0,00;14.027,02;0,00;3.500,00;0,00;0,00;0,00;14.027,02;0,00;0,00;3.500,00;0,00;0,00;14.027,02;0,00;0,00;3.500,00
6;603;26;782;17;1035;449051990300000;"44 90 51 99 03 00 00";1;0,00;5.394,73;-5.144,73;0,00;0,00;0,00;0,00;0,00;0,00;250,00;0,00;0,00;0,00;0,00;0,00;250,00;0,00;0,00
6;603;26;782;17;1035;449051990300000;"44 90 51 99 03 00 00";1200;0,00;0,00;0,00;215.789,16;0,00;0,00;0,00;0,00;0,00;38.284,19;32.403,22;31.258,34;0,00;0,00;0,00;38.284,19;32.403,22;31.258,34
6;603;26;782;17;1035;449051990300000;"44 90 51 99 03 00 00";1201;0,00;210.394,43;5.144,73;-215.539,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
8;801;10;301;6;1046;449052080000000;"44 90 52 08 00 00 00";4931;0,00;14.300,00;0,00;-14.300,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;1002;20;608;4;1053;449052400000000;"44 90 52 40 00 00 00";1;0,00;6.301,00;-6.001,00;250,00;0,00;0,00;0,00;0,00;300,00;250,00;0,00;0,00;0,00;0,00;300,00;250,00;0,00;0,00
10;1002;20;608;4;1053;449052400000000;"44 90 52 40 00 00 00";1204;0,00;206.150,00;6.000,00;-250,00;0,00;0,00;0,00;0,00;0,00;162.900,00;19.000,00;30.000,00;0,00;0,00;0,00;162.900,00;0,00;49.000,00
10;1003;22;661;4;1054;449039990000000;"44 90 39 99 00 00 00";1;0,00;0,00;0,00;4.900,00;0,00;-4.900,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;1004;17;511;12;1056;449030990000000;"44 90 30 99 00 00 00";1;1.162,50;0,00;0,00;0,00;630,00;0,00;1.014,50;148,00;0,00;0,00;630,00;0,00;1.014,50;148,00;0,00;0,00;0,00;630,00
10;1004;17;511;12;1056;449039990000000;"44 90 39 99 00 00 00";1;0,00;1.800,00;0,00;0,00;0,00;0,00;0,00;1.800,00;0,00;0,00;0,00;0,00;0,00;1.800,00;0,00;0,00;0,00;0,00
7;702;15;452;10;1057;449030990000000;"44 90 30 99 00 00 00";1;0,00;0,00;0,00;7.460,00;0,00;0,00;0,00;0,00;0,00;0,00;7.460,00;0,00;0,00;0,00;0,00;0,00;7.460,00;0,00
7;702;15;452;10;1057;449052340000000;"44 90 52 34 00 00 00";1;0,00;0,00;0,00;1.314,00;0,00;0,00;0,00;0,00;0,00;0,00;1.314,00;0,00;0,00;0,00;0,00;0,00;1.314,00;0,00
7;702;15;451;10;1058;339030540000000;"33 90 30 54 00 00 00";1;0,00;1.086,40;0,00;969,73;368,60;-194,00;0,00;0,00;1.086,40;775,73;368,60;0,00;0,00;0,00;1.086,40;775,73;368,60;0,00
7;702;15;451;10;1058;339030310000000;"33 90 30 31 00 00 00";1;0,00;211,50;0,00;2.426,00;0,00;0,00;0,00;61,50;0,00;0,00;2.576,00;0,00;0,00;0,00;61,50;0,00;2.576,00;0,00
7;702;15;451;10;1058;339030160000000;"33 90 30 16 00 00 00";1;0,00;0,00;0,00;264,00;0,00;0,00;0,00;0,00;0,00;0,00;264,00;0,00;0,00;0,00;0,00;0,00;264,00;0,00
7;702;15;451;10;1058;339030240000000;"33 90 30 24 00 00 00";1;0,00;0,00;0,00;305,00;0,00;0,00;0,00;0,00;0,00;0,00;305,00;0,00;0,00;0,00;0,00;0,00;305,00;0,00
7;702;15;451;10;1058;339030280000000;"33 90 30 28 00 00 00";1;0,00;817,02;0,00;0,00;0,00;0,00;0,00;0,00;328,40;488,62;0,00;0,00;0,00;0,00;328,40;488,62;0,00;0,00
7;702;15;451;10;1058;339039160000000;"33 90 39 16 00 00 00";1;0,00;0,00;0,00;100,00;0,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00
5;502;12;365;2;1061;449051920000000;"44 90 51 92 00 00 00";20;48.440,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5;502;12;365;2;1061;449051920000000;"44 90 51 92 00 00 00";31;115.967,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31.371,64;17.470,39;51.690,78;0,00;0,00;0,00;31.371,64;0,00;69.161,17
8;801;10;302;8;1062;449052420000000;"44 90 52 42 00 00 00";40;0,00;1.296,00;0,00;0,00;0,00;0,00;0,00;0,00;648,00;648,00;0,00;0,00;0,00;0,00;0,00;1.296,00;0,00;0,00
8;801;10;302;8;1063;449052300000000;"44 90 52 30 00 00 00";1307;0,00;0,00;0,00;24.050,00;0,00;0,00;0,00;0,00;0,00;0,00;24.050,00;0,00;0,00;0,00;0,00;0,00;24.050,00;0,00
8;801;10;302;8;1063;449052120000000;"44 90 52 12 00 00 00";1308;0,00;0,00;0,00;342,00;0,00;0,00;0,00;0,00;0,00;0,00;342,00;0,00;0,00;0,00;0,00;0,00;342,00;0,00
8;801;10;302;8;1063;449052300000000;"44 90 52 30 00 00 00";1308;0,00;0,00;0,00;24.050,00;0,00;0,00;0,00;0,00;0,00;0,00;24.050,00;0,00;0,00;0,00;0,00;0,00;24.050,00;0,00
8;801;10;302;8;1063;449052300000000;"44 90 52 30 00 00 00";1309;0,00;0,00;0,00;13.000,00;0,00;0,00;0,00;0,00;0,00;0,00;13.000,00;0,00;0,00;0,00;0,00;0,00;13.000,00;0,00
8;801;10;302;8;1063;449052300000000;"44 90 52 30 00 00 00";1310;0,00;0,00;0,00;3.900,00;0,00;0,00;0,00;0,00;0,00;0,00;3.900,00;0,00;0,00;0,00;0,00;0,00;3.900,00;0,00
8;801;10;302;8;1064;339030240000000;"33 90 30 24 00 00 00";1311;0,00;0,00;16.133,54;1.329,79;331,50;0,00;0,00;0,00;0,00;16.980,33;814,50;0,00;0,00;0,00;0,00;16.980,33;814,50;0,00
8;801;10;302;8;1064;339039160000000;"33 90 39 16 00 00 00";1311;0,00;0,00;8.066,77;933,23;0,00;0,00;0,00;0,00;0,00;9.000,00;0,00;0,00;0,00;0,00;0,00;9.000,00;0,00;0,00
8;801;10;302;8;1064;449051990200000;"44 90 51 99 02 00 00";40;0,00;0,00;29.578,16;3.976,34;0,00;0,00;0,00;0,00;0,00;33.554,50;0,00;0,00;0,00;0,00;0,00;33.554,50;0,00;0,00
8;801;10;301;6;1072;449052350000000;"44 90 52 35 00 00 00";4931;0,00;0,00;0,00;0,00;0,00;31.269,00;0,00;0,00;0,00;0,00;0,00;31.269,00;0,00;0,00;0,00;0,00;0,00;31.269,00
8;801;10;301;6;1072;449052120000000;"44 90 52 12 00 00 00";4931;0,00;0,00;0,00;0,00;0,00;2.104,00;0,00;0,00;0,00;0,00;0,00;2.104,00;0,00;0,00;0,00;0,00;0,00;2.104,00
8;801;10;301;6;1072;449052080000000;"44 90 52 08 00 00 00";4931;0,00;0,00;0,00;22.700,00;0,00;10.282,95;0,00;0,00;0,00;14.300,00;8.400,00;10.282,95;0,00;0,00;0,00;14.300,00;8.400,00;10.282,95
8;801;10;301;6;1072;449052300000000;"44 90 52 30 00 00 00";4931;0,00;0,00;0,00;0,00;0,00;11.291,65;0,00;0,00;0,00;0,00;0,00;8.102,50;0,00;0,00;0,00;0,00;0,00;8.102,50
8;801;10;301;6;1072;449052420000000;"44 90 52 42 00 00 00";4931;0,00;0,00;0,00;16.056,00;0,00;0,00;0,00;0,00;0,00;0,00;16.056,00;0,00;0,00;0,00;0,00;0,00;14.256,00;1.800,00
8;801;10;301;6;1072;449052340000000;"44 90 52 34 00 00 00";4931;0,00;0,00;0,00;1.891,00;0,00;0,00;0,00;0,00;0,00;1.738,00;153,00;0,00;0,00;0,00;0,00;1.738,00;153,00;0,00
8;801;10;301;6;1073;449052080000000;"44 90 52 08 00 00 00";4931;0,00;0,00;0,00;0,00;0,00;3.347,05;0,00;0,00;0,00;0,00;0,00;3.347,05;0,00;0,00;0,00;0,00;0,00;3.347,05
8;801;10;301;6;1073;449052350000000;"44 90 52 35 00 00 00";4931;0,00;0,00;0,00;0,00;0,00;13.046,00;0,00;0,00;0,00;0,00;0,00;13.046,00;0,00;0,00;0,00;0,00;0,00;13.046,00
8;801;10;301;6;1073;449052300000000;"44 90 52 30 00 00 00";4931;0,00;0,00;0,00;0,00;0,00;2.065,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6;603;26;782;18;1077;449051920000000;"44 90 51 92 00 00 00";1;0,00;24.611,30;0,00;0,00;6.141,45;0,00;0,00;0,00;0,00;0,00;30.752,75;0,00;0,00;0,00;0,00;0,00;30.752,75;0,00
7;702;26;782;6;1078;449051990400000;"44 90 51 99 04 00 00";1;0,00;0,00;0,00;0,00;290.506,42;3.543,56;0,00;0,00;0,00;0,00;0,00;294.049,98;0,00;0,00;0,00;0,00;0,00;294.049,98
6;603;26;782;17;1079;449051990400000;"44 90 51 99 04 00 00";1;0,00;0,00;0,00;0,00;84.970,40;0,00;0,00;0,00;0,00;0,00;0,00;84.970,40;0,00;0,00;0,00;0,00;0,00;84.970,40
8;801;10;304;7;1080;449051920000000;"44 90 51 92 00 00 00";4710;0,00;0,00;0,00;0,00;17.398,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
8;801;10;304;7;1080;449051990600000;"44 90 51 99 06 00 00";4760;0,00;0,00;0,00;0,00;0,00;13.119,45;0,00;0,00;0,00;0,00;0,00;13.119,45;0,00;0,00;0,00;0,00;0,00;13.119,45
7;702;15;451;17;1081;449051920000000;"44 90 51 92 00 00 00";1;0,00;0,00;8.785,00;0,00;0,00;-595,00;0,00;0,00;0,00;8.190,00;0,00;0,00;0,00;0,00;0,00;8.190,00;0,00;0,00
8;801;10;301;6;1082;449052520000000;"44 90 52 52 00 00 00";4936;0,00;0,00;0,00;79.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;79.500,00;0,00;0,00;0,00;0,00;0,00;79.500,00
7;702;15;451;17;1086;449052100000000;"44 90 52 10 00 00 00";1;0,00;0,00;0,00;0,00;8.568,00;920,00;0,00;0,00;0,00;0,00;0,00;9.488,00;0,00;0,00;0,00;0,00;0,00;9.488,00
7;702;15;451;17;1087;449051990500000;"44 90 51 99 05 00 00";1;0,00;0,00;0,00;0,00;0,00;12.297,54;0,00;0,00;0,00;0,00;0,00;12.297,54;0,00;0,00;0,00;0,00;0,00;0,00
7;702;15;451;17;1087;449051990500000;"44 90 51 99 05 00 00";1022;0,00;0,00;0,00;0,00;0,00;119.554,08;0,00;0,00;0,00;0,00;0,00;26.420,99;0,00;0,00;0,00;0,00;0,00;0,00
2;201;4;122;1;2003;319011010100000;"31 90 11 01 01 00 00";1;2.352,98;2.352,98;0,00;1.897,44;2.250,39;2.352,98;2.352,98;2.352,98;0,00;1.897,44;2.250,39;2.352,98;2.352,98;2.352,98;0,00;1.897,44;2.250,39;2.352,98
2;201;4;122;1;2003;319011370000000;"31 90 11 37 00 00 00";1;188,24;200,00;0,00;180,00;211,76;211,76;188,24;200,00;0,00;180,00;211,76;211,76;188,24;200,00;0,00;180,00;211,76;211,76
2;201;4;122;1;2003;319011330000000;"31 90 11 33 00 00 00";1;861,90;0,00;0,00;0,00;0,00;0,00;861,90;0,00;0,00;0,00;0,00;0,00;861,90;0,00;0,00;0,00;0,00;0,00
2;201;4;122;1;2003;319011450000000;"31 90 11 45 00 00 00";1;423,54;0,00;0,00;0,00;0,00;0,00;423,54;0,00;0,00;0,00;0,00;0,00;423,54;0,00;0,00;0,00;0,00;0,00
2;201;4;122;1;2003;319011430000000;"31 90 11 43 00 00 00";1;0,00;0,00;0,00;0,00;0,00;1.068,64;0,00;0,00;0,00;0,00;0,00;1.068,64;0,00;0,00;0,00;0,00;0,00;1.068,64
2;201;4;122;1;2003;319113030100000;"31 91 13 03 01 00 00";1;405,62;349,25;350,86;336,82;336,82;526,29;405,62;349,25;350,86;336,82;336,82;526,29;173,84;405,60;350,86;350,86;336,82;687,68
2;201;4;122;1;2003;339030210000000;"33 90 30 21 00 00 00";1;0,00;412,00;66,50;0,00;66,50;0,00;0,00;159,15;60,00;66,50;259,35;0,00;0,00;159,15;60,00;66,50;192,85;66,50
2;201;4;122;1;2003;339030240000000;"33 90 30 24 00 00 00";1;424,00;458,80;200,00;0,00;262,94;85,00;424,00;458,80;200,00;0,00;0,00;347,94;424,00;365,23;293,57;0,00;0,00;347,94
2;201;4;122;1;2003;339030440000000;"33 90 30 44 00 00 00";1;0,00;0,00;70,00;0,00;0,00;0,00;0,00;0,00;0,00;70,00;0,00;0,00;0,00;0,00;0,00;70,00;0,00;0,00
2;201;4;122;1;2003;339030250000000;"33 90 30 25 00 00 00";1;0,00;0,00;110,00;0,00;0,00;135,00;0,00;0,00;0,00;110,00;0,00;135,00;0,00;0,00;0,00;110,00;0,00;135,00
2;201;4;122;1;2003;339030220000000;"33 90 30 22 00 00 00";1;0,00;3.473,60;672,90;0,00;545,20;0,00;0,00;449,40;3.024,20;672,90;545,20;0,00;0,00;449,40;3.024,20;672,90;545,20;0,00
2;201;4;122;1;2003;339030079900000;"33 90 30 07 99 00 00";1;0,00;135,00;0,00;94,50;0,00;0,00;0,00;135,00;0,00;0,00;94,50;0,00;0,00;135,00;0,00;0,00;94,50;0,00
2;201;4;122;1;2003;339030500000000;"33 90 30 50 00 00 00";1;0,00;0,00;0,00;430,00;0,00;0,00;0,00;0,00;0,00;0,00;430,00;0,00;0,00;0,00;0,00;0,00;430,00;0,00
2;201;4;122;1;2003;339030310000000;"33 90 30 31 00 00 00";1;0,00;0,00;0,00;0,00;0,00;425,75;0,00;0,00;0,00;0,00;0,00;425,75;0,00;0,00;0,00;0,00;0,00;425,75
2;201;4;122;1;2003;339030420000000;"33 90 30 42 00 00 00";1;0,00;22,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00
2;201;4;122;1;2003;339030190000000;"33 90 30 19 00 00 00";1;0,00;229,00;0,00;0,00;0,00;0,00;0,00;229,00;0,00;0,00;0,00;0,00;0,00;229,00;0,00;0,00;0,00;0,00
2;201;4;122;1;2003;339030280000000;"33 90 30 28 00 00 00";1;0,00;0,00;0,00;124,00;0,00;0,00;0,00;0,00;0,00;0,00;124,00;0,00;0,00;0,00;0,00;0,00;124,00;0,00
2;201;4;122;1;2003;339039430000000;"33 90 39 43 00 00 00";1;37.400,00;0,00;0,00;0,00;0,00;-4.821,73;3.244,56;7.924,47;4.015,96;7.988,34;3.123,84;6.281,10;3.244,56;7.924,47;4.015,96;4.951,70;6.160,48;6.281,10
2;201;4;122;1;2003;339039440000000;"33 90 39 44 00 00 00";1;1.980,00;0,00;0,00;0,00;0,00;-522,71;146,22;289,23;237,87;236,14;284,46;263,37;146,22;289,23;237,87;236,14;284,46;263,37
