nro;nro_f;uniorcam;janeiro;fevereiro;marco;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro;meta1bim;meta2bim;meta3bim;meta4bim;meta5bim;meta6bim;cp;rv
13100113000000000000;1.3.1.0.01.1.3.00.00.00;201;150,72;161,65;0,00;0,00;668,79;0,00;222,93;222,93;445,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
13100114000000000000;1.3.1.0.01.1.4.00.00.00;201;29,14;18,70;0,00;0,00;138,09;0,00;36,55;39,58;56,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
13200000000000000000;1.3.2.0.00.0.0.00.00.00;201;503.293,00;105.470,31;119.925,31;219.147,94;470.313,06;494.983,30;235.494,11;73.577,13;415.603,09;452.481,75;0,00;0,00;371.256,68;371.256,68;371.318,69;371.584,90;373.393,47;371.256,71;0;0
13210000000000000000;1.3.2.1.00.0.0.00.00.00;201;503.293,00;105.470,31;119.925,31;219.147,94;470.313,06;494.983,30;235.494,11;73.577,13;415.603,09;452.481,75;0,00;0,00;371.256,68;371.256,68;371.318,69;371.584,90;373.393,47;371.256,71;0;0
13210010000000000000;1.3.2.1.00.1.0.00.00.00;201;12.225,11;12.717,31;12.650,48;14.412,17;15.363,12;14.633,01;19.014,08;15.576,76;17.255,71;13.634,99;0,00;0,00;24.651,48;24.651,48;24.713,49;24.979,70;26.788,27;24.651,54;0;0
13210011000000000000;1.3.2.1.00.1.1.00.00.00;201;12.225,11;12.717,31;12.650,48;14.412,17;15.363,12;14.633,01;19.014,08;15.576,76;17.255,71;13.634,99;0,00;0,00;24.651,48;24.651,48;24.713,49;24.979,70;26.788,27;24.651,54;0;0
13210011010000000000;1.3.2.1.00.1.1.01.00.00;201;2.588,10;2.425,80;2.414,26;3.102,37;3.726,97;3.729,74;4.329,84;3.981,64;4.160,36;3.399,55;0,00;0,00;1.651,66;1.651,66;1.713,67;1.979,88;3.788,45;1.651,72;0;0
13210011010200000000;1.3.2.1.00.1.1.01.02.00;201;554,26;445,48;657,90;1.148,94;1.616,00;1.678,86;2.148,65;2.075,73;2.074,56;1.057,94;0,00;0,00;1.360,74;1.360,74;1.360,74;1.360,74;1.360,74;1.360,75;0;31
13210011010300000000;1.3.2.1.00.1.1.01.03.00;201;1.346,79;1.435,93;1.090,58;1.236,72;1.348,33;1.238,43;1.367,23;1.022,95;1.008,38;1.299,54;0,00;0,00;0,00;0,00;62,01;328,22;2.136,79;0,00;0;0
13210011010301000000;1.3.2.1.00.1.1.01.03.01;201;5,16;4,71;4,49;5,03;5,30;4,54;2,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31,66;0,00;0;4111
13210011010302000000;1.3.2.1.00.1.1.01.03.02;201;1,77;1,61;1,54;25,44;40,28;49,33;86,11;65,72;50,03;72,05;0,00;0,00;0,00;0,00;30,36;0,00;0,00;0,00;0;4050
13210011010303000000;1.3.2.1.00.1.1.01.03.03;201;336,33;306,80;165,00;244,70;299,96;260,41;198,19;62,28;57,12;58,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;4931
13210011010304000000;1.3.2.1.00.1.1.01.03.04;201;134,54;122,86;74,26;99,36;122,05;105,69;68,86;3,29;2,99;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;4931
13210011010305000000;1.3.2.1.00.1.1.01.03.05;201;0,00;223,23;195,22;191,45;137,38;147,60;147,61;0,00;0,00;222,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;4500
13210011010307000000;1.3.2.1.00.1.1.01.03.07;201;0,00;0,00;23,20;24,44;36,13;29,26;40,07;40,42;37,57;43,81;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;4503
13210011010308000000;1.3.2.1.00.1.1.01.03.08;201;0,00;0,00;0,00;0,00;0,00;0,00;7,86;6,61;6,88;6,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;4160
13210011010309000000;1.3.2.1.00.1.1.01.03.09;201;0,00;0,00;14,82;68,28;124,83;158,70;258,21;300,59;367,32;397,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;4011
13210011010310000000;1.3.2.1.00.1.1.01.03.10;201;0,00;0,00;1,48;6,34;7,98;0,24;1,63;5,96;8,54;13,79;0,00;0,00;0,00;0,00;7,82;0,00;0,00;0,00;0;4050
13210011010311000000;1.3.2.1.00.1.1.01.03.11;201;0,00;0,00;0,00;0,00;0,00;0,00;35,96;33,09;34,40;29,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;4090
13210011010316000000;1.3.2.1.00.1.1.01.03.16;201;45,11;41,34;39,76;44,20;39,09;32,01;36,66;25,12;23,43;29,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;4503
13210011010317000000;1.3.2.1.00.1.1.01.03.17;201;230,36;210,23;200,97;222,91;234,79;203,59;247,68;219,49;203,58;209,02;0,00;0,00;0,00;0,00;0,00;0,00;1.770,02;0,00;0;4303
13210011010318000000;1.3.2.1.00.1.1.01.03.18;201;39,42;9,21;5,99;6,69;6,91;5,93;2,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;76,97;0,00;0;4710
13210011010319000000;1.3.2.1.00.1.1.01.03.19;201;44,76;40,31;38,48;42,66;44,85;33,65;13,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;258,14;0,00;0;4710
13210011010320000000;1.3.2.1.00.1.1.01.03.20;201;54,72;50,14;48,21;53,85;55,56;48,44;59,13;44,62;42,00;61,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;4505
13210011010321000000;1.3.2.1.00.1.1.01.03.21;201;9,85;8,99;4,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,83;0,00;0,00;0,00;0;4936
13210011010322000000;1.3.2.1.00.1.1.01.03.22;201;406,61;364,70;221,04;148,23;138,94;117,41;122,50;52,28;25,69;1,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;4520
13210011010323000000;1.3.2.1.00.1.1.01.03.23;201;33,66;33,79;33,91;34,04;34,16;34,29;34,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;238,27;0,00;0,00;0;4760
13210011010324000000;1.3.2.1.00.1.1.01.03.24;201;4,50;18,01;17,22;19,10;20,12;7,34;3,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;89,95;0,00;0,00;0;4190
13210011010325000000;1.3.2.1.00.1.1.01.03.25;201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;163,48;148,83;146,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;4500
13210011010327000000;1.3.2.1.00.1.1.01.03.27;201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;4300
13210011010700000000;1.3.2.1.00.1.1.01.07.00;201;124,59;120,18;120,37;127,40;100,00;98,36;109,36;61,91;46,40;96,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
13210011010701000000;1.3.2.1.00.1.1.01.07.01;201;0,00;6,66;9,91;10,88;7,72;10,56;14,87;7,49;3,99;11,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1064
13210011010702000000;1.3.2.1.00.1.1.01.07.02;201;85,07;76,61;73,03;74,13;52,88;53,36;53,42;22,77;0,00;14,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1021
13210011010703000000;1.3.2.1.00.1.1.01.07.03;201;28,21;26,55;27,47;31,26;34,06;30,31;36,03;27,85;26,24;41,23;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1038
13210011010704000000;1.3.2.1.00.1.1.01.07.04;201;11,31;10,36;9,96;11,13;5,34;4,13;5,04;3,80;3,33;3,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1067
13210011010705000000;1.3.2.1.00.1.1.01.07.05;201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,84;25,81;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1103
13210011010800000000;1.3.2.1.00.1.1.01.08.00;201;16,16;62,51;80,93;73,60;55,17;34,84;29,00;44,77;42,19;59,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
13210011010803000000;1.3.2.1.00.1.1.01.08.03;201;16,16;62,40;61,82;48,62;13,44;17,09;6,00;20,77;17,11;24,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1014
13210011010804000000;1.3.2.1.00.1.1.01.08.04;201;0,00;0,11;6,74;15,71;23,89;10,02;6,22;2,84;0,58;5,59;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1016
13210011010805000000;1.3.2.1.00.1.1.01.08.05;201;0,00;0,00;6,21;8,26;10,37;6,51;0,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1001
13210011010806000000;1.3.2.1.00.1.1.01.08.06;201;0,00;0,00;6,16;1,01;7,47;1,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1031
13210011010807000000;1.3.2.1.00.1.1.01.08.07;201;0,00;0,00;0,00;0,00;0,00;0,00;15,83;21,16;24,50;29,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1070
13210011019900000000;1.3.2.1.00.1.1.01.99.00;201;546,30;361,70;464,48;515,71;607,47;679,25;675,60;776,28;988,83;886,03;0,00;0,00;290,92;290,92;290,92;290,92;290,92;290,97;0;0
13210011019901000000;1.3.2.1.00.1.1.01.99.01;201;84,94;77,84;77,70;86,17;94,90;89,74;116,75;106,91;99,70;103,77;0,00;0,00;223,04;223,04;223,04;223,04;223,04;223,09;0;1005
13210011019902000000;1.3.2.1.00.1.1.01.99.02;201;0,00;0,00;92,56;134,26;147,63;136,60;104,26;73,22;72,06;63,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1017
13210011019906000000;1.3.2.1.00.1.1.01.99.06;201;26,31;26,41;26,51;26,60;57,89;58,10;58,31;77,19;71,62;30,94;0,00;0,00;67,88;67,88;67,88;67,88;67,88;67,88;0;1050
13210011019907000000;1.3.2.1.00.1.1.01.99.07;201;348,44;251,58;252,51;253,46;135,97;235,56;236,44;237,32;220,18;179,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1022
13210011019908000000;1.3.2.1.00.1.1.01.99.08;201;83,50;5,87;5,89;5,91;158,66;159,25;159,84;97,17;192,61;193,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1200
13210011019909000000;1.3.2.1.00.1.1.01.99.09;201;3,11;0,00;0,00;0,00;12,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1022
13210011019910000000;1.3.2.1.00.1.1.01.99.10;201;0,00;0,00;9,31;9,31;0,00;0,00;0,00;11,51;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1200
13210011019911000000;1.3.2.1.00.1.1.01.99.11;201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;172,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1207
13210011019912000000;1.3.2.1.00.1.1.01.99.12;201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;332,66;271,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1207
13210011019914000000;1.3.2.1.00.1.1.01.99.14;201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1206
13210011019916000000;1.3.2.1.00.1.1.01.99.16;201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1203
13210011020000000000;1.3.2.1.00.1.1.02.00.00;201;9.637,01;10.291,51;10.236,22;11.309,80;11.636,15;10.903,27;14.684,24;11.595,12;13.095,35;10.235,44;0,00;0,00;22.999,82;22.999,82;22.999,82;22.999,82;22.999,82;22.999,82;0;0
13210011029900000000;1.3.2.1.00.1.1.02.99.00;201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22.999,82;22.999,82;22.999,82;22.999,82;22.999,82;22.999,82;0;1
13210011029901000000;1.3.2.1.00.1.1.02.99.01;201;3.890,42;6.751,59;4.695,24;3.843,97;5.862,20;8.697,75;3.988,19;2.058,92;733,87;665,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
13210011029902000000;1.3.2.1.00.1.1.02.99.02;201;5.400,38;3.018,58;4.951,72;6.786,82;5.135,76;1.463,15;6.866,47;3.566,46;1.028,86;527,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
13210011029905000000;1.3.2.1.00.1.1.02.99.05;201;346,21;521,34;589,26;679,01;638,19;742,37;1.055,09;975,65;1.022,77;1.253,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
13210011029908000000;1.3.2.1.00.1.1.02.99.08;201;0,00;0,00;0,00;0,00;0,00;0,00;2.774,49;4.994,09;10.309,85;7.789,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
13210040000000000000;1.3.2.1.00.4.0.00.00.00;201;491.067,89;92.753,00;107.274,83;204.735,77;454.949,94;480.350,29;216.480,03;58.000,37;398.347,38;438.846,76;0,00;0,00;346.605,20;346.605,20;346.605,20;346.605,20;346.605,20;346.605,17;0;0
13210041000000000000;1.3.2.1.00.4.1.00.00.00;1201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;346.605,20;346.605,20;346.605,20;346.605,20;346.605,20;346.605,17;0;50
13210041010000000000;1.3.2.1.00.4.1.01.00.00;1201;162.260,46;19.297,33;21.818,53;58.764,06;144.607,47;153.447,01;54.580,52;0,00;123.065,07;126.207,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;50
13210041020000000000;1.3.2.1.00.4.1.02.00.00;1201;154.891,16;11.563,45;10.435,86;44.254,41;131.848,37;136.404,65;42.401,72;0,00;106.119,60;109.446,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;50
13210041030000000000;1.3.2.1.00.4.1.03.00.00;1201;61.605,82;8.134,44;8.373,62;22.302,65;54.592,34;58.217,48;20.643,56;0,00;47.050,63;37.317,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;50
13210041040000000000;1.3.2.1.00.4.1.04.00.00;1201;26.908,85;21.383,24;21.513,36;24.412,61;32.005,45;28.240,45;34.663,43;26.288,68;31.791,76;22.222,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;50
13210041060000000000;1.3.2.1.00.4.1.06.00.00;1201;54.592,50;8.131,03;20.620,50;26.974,50;55.230,00;70.453,50;23.178,00;1.040,49;52.608,00;58.491,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;50
13210041070000000000;1.3.2.1.00.4.1.07.00.00;1201;30.809,10;24.234,30;24.512,96;28.027,54;36.666,31;33.587,20;41.012,80;30.671,20;37.712,32;32.074,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;50
13210041080000000000;1.3.2.1.00.4.1.08.00.00;1201;0,00;9,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;50
13210041090000000000;1.3.2.1.00.4.1.09.00.00;1201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9.312,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;50
13210041100000000000;1.3.2.1.00.4.1.10.00.00;1201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8.501,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;50
13210041110000000000;1.3.2.1.00.4.1.11.00.00;1201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11.655,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;50
13210041120000000000;1.3.2.1.00.4.1.12.00.00;1201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23.616,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;50
13600000000000000000;1.3.6.0.00.0.0.00.00.00;201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.858,80;4.858,80;4.858,80;4.858,80;4.858,80;4.858,85;0;0
13600100000000000000;1.3.6.0.01.0.0.00.00.00;201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.858,80;4.858,80;4.858,80;4.858,80;4.858,80;4.858,85;0;0
13600110000000000000;1.3.6.0.01.1.0.00.00.00;201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.858,80;4.858,80;4.858,80;4.858,80;4.858,80;4.858,85;0;0
13600111000000000000;1.3.6.0.01.1.1.00.00.00;201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.858,80;4.858,80;4.858,80;4.858,80;4.858,80;4.858,85;0;1
16000000000000000000;1.6.0.0.00.0.0.00.00.00;201;2.220,00;2.830,00;2.535,00;2.830,00;2.305,00;4.415,00;3.215,00;3.190,00;1.670,00;2.005,00;0,00;0,00;3.440,38;3.440,38;3.440,38;3.440,38;3.440,38;3.440,41;0;0
16100000000000000000;1.6.1.0.00.0.0.00.00.00;201;2.220,00;2.830,00;2.535,00;2.830,00;2.305,00;4.415,00;3.215,00;3.190,00;1.670,00;2.005,00;0,00;0,00;3.440,38;3.440,38;3.440,38;3.440,38;3.440,38;3.440,41;0;0
16100100000000000000;1.6.1.0.01.0.0.00.00.00;201;2.220,00;2.830,00;2.535,00;2.830,00;2.305,00;4.415,00;3.215,00;3.190,00;1.670,00;2.005,00;0,00;0,00;3.440,38;3.440,38;3.440,38;3.440,38;3.440,38;3.440,41;0;0
16100110000000000000;1.6.1.0.01.1.0.00.00.00;201;2.220,00;2.830,00;2.535,00;2.830,00;2.305,00;4.415,00;3.215,00;3.190,00;1.670,00;2.005,00;0,00;0,00;3.440,38;3.440,38;3.440,38;3.440,38;3.440,38;3.440,41;0;0
16100111000000000000;1.6.1.0.01.1.1.00.00.00;201;2.220,00;2.830,00;2.535,00;2.830,00;2.305,00;4.415,00;3.215,00;3.190,00;1.670,00;2.005,00;0,00;0,00;3.440,38;3.440,38;3.440,38;3.440,38;3.440,38;3.440,41;0;0
16100111010000000000;1.6.1.0.01.1.1.01.00.00;201;2.220,00;2.830,00;2.535,00;2.830,00;2.305,00;4.415,00;3.215,00;3.190,00;1.670,00;2.005,00;0,00;0,00;3.440,38;3.440,38;3.440,38;3.440,38;3.440,38;3.440,41;0;1
17000000000000000000;1.7.0.0.00.0.0.00.00.00;201;1.915.907,40;1.857.084,24;1.781.423,53;2.103.940,74;1.908.990,37;1.755.475,53;2.093.463,19;1.750.333,94;1.681.418,62;1.912.404,41;0,00;0,00;3.798.256,49;3.733.243,85;3.805.878,28;4.422.868,82;3.406.710,42;4.830.051,53;0;0
17100000000000000000;1.7.1.0.00.0.0.00.00.00;201;838.302,65;972.934,81;746.485,72;731.459,95;915.356,94;760.794,18;975.693,09;784.869,08;692.631,79;725.331,39;0,00;0,00;1.897.995,85;1.505.327,51;1.812.083,98;1.824.647,23;1.440.271,03;2.510.625,13;0;0
17180000000000000000;1.7.1.8.00.0.0.00.00.00;201;838.302,65;972.934,81;746.485,72;731.459,95;915.356,94;760.794,18;975.693,09;784.869,08;692.631,79;725.331,39;0,00;0,00;1.897.995,85;1.505.327,51;1.812.083,98;1.824.647,23;1.440.271,03;2.510.625,13;0;0
17180100000000000000;1.7.1.8.01.0.0.00.00.00;201;776.260,86;849.031,41;635.491,60;620.103,80;796.178,89;628.202,08;857.103,52;627.115,23;577.462,05;569.700,09;0,00;0,00;1.673.745,68;1.282.441,67;1.590.811,35;1.548.482,30;1.214.295,28;2.298.391,19;0;0
17180120000000000000;1.7.1.8.01.2.0.00.00.00;201;772.681,65;848.744,53;635.491,60;619.992,00;795.651,68;626.733,10;515.465,92;625.591,85;556.869,01;512.670,22;0,00;0,00;1.672.269,61;1.281.941,62;1.586.773,48;1.200.571,38;1.167.507,15;1.936.600,76;0;0
17180121000000000000;1.7.1.8.01.2.1.00.00.00;201;772.681,65;848.744,53;635.491,60;619.992,00;795.651,68;626.733,10;515.465,92;625.591,85;556.869,01;512.670,22;0,00;0,00;1.672.269,61;1.281.941,62;1.586.773,48;1.200.571,38;1.167.507,15;1.936.600,76;0;0
17180121010000000000;1.7.1.8.01.2.1.01.00.00;201;463.608,98;509.246,72;381.294,96;371.995,20;477.391,00;376.039,87;309.279,54;375.355,09;334.121,41;307.602,13;0,00;0,00;1.003.361,77;769.164,97;952.064,10;720.342,84;700.504,29;1.161.960,43;0;1
17180121020000000000;1.7.1.8.01.2.1.02.00.00;201;38.634,09;42.437,23;31.774,58;30.999,60;39.782,58;31.336,65;25.773,30;31.279,60;27.843,45;25.633,52;0,00;0,00;83.613,48;64.097,08;79.338,67;60.028,57;58.375,36;96.830,04;0;20
17180121030000000000;1.7.1.8.01.2.1.03.00.00;201;115.902,25;127.311,68;95.323,74;92.998,80;119.347,76;94.009,96;77.319,89;93.838,78;83.530,35;76.900,53;0,00;0,00;250.840,44;192.291,24;238.016,02;180.085,70;175.126,07;290.490,13;0;40
17180121040000000000;1.7.1.8.01.2.1.04.00.00;201;154.536,33;169.748,90;127.098,32;123.998,40;159.130,34;125.346,62;103.093,19;125.118,38;111.373,80;102.534,04;0,00;0,00;334.453,92;256.388,33;317.354,69;240.114,27;233.501,43;387.320,16;0;31
17180130000000000000;1.7.1.8.01.3.0.00.00.00;201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;351.095,00;0;0
17180131000000000000;1.7.1.8.01.3.1.00.00.00;201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;351.095,00;0;0
17180131010000000000;1.7.1.8.01.3.1.01.00.00;201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;210.657,00;0;1
17180131020000000000;1.7.1.8.01.3.1.02.00.00;201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;87.773,75;0;20
17180131030000000000;1.7.1.8.01.3.1.03.00.00;201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;52.664,25;0;40
17180140000000000000;1.7.1.8.01.4.0.00.00.00;201;0,00;0,00;0,00;0,00;0,00;0,00;341.589,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;347.497,00;0,00;0,00;0;0
17180141000000000000;1.7.1.8.01.4.1.00.00.00;201;0,00;0,00;0,00;0,00;0,00;0,00;341.589,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;347.497,00;0,00;0,00;0;0
17180141010000000000;1.7.1.8.01.4.1.01.00.00;201;0,00;0,00;0,00;0,00;0,00;0,00;204.953,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;208.498,20;0,00;0,00;0;1
17180141020000000000;1.7.1.8.01.4.1.02.00.00;201;0,00;0,00;0,00;0,00;0,00;0,00;85.397,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;86.874,25;0,00;0,00;0;20
17180141030000000000;1.7.1.8.01.4.1.03.00.00;201;0,00;0,00;0,00;0,00;0,00;0,00;51.238,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;52.124,55;0,00;0,00;0;40
17180150000000000000;1.7.1.8.01.5.0.00.00.00;201;3.579,21;286,88;0,00;111,80;527,21;1.468,98;48,35;1.523,38;20.593,04;57.029,87;0,00;0,00;1.476,07;500,05;4.037,87;413,92;46.788,13;10.695,43;0;0
17180151000000000000;1.7.1.8.01.5.1.00.00.00;201;3.579,21;286,88;0,00;111,80;527,21;1.468,98;48,35;1.523,38;20.593,04;57.029,87;0,00;0,00;1.476,07;500,05;4.037,87;413,92;46.788,13;10.695,43;0;0
17180151010000000000;1.7.1.8.01.5.1.01.00.00;201;2.147,52;172,12;0,00;67,08;316,31;881,38;29,01;914,04;12.355,81;34.217,94;0,00;0,00;885,63;300,03;2.422,72;248,37;28.072,89;6.417,25;0;1
17180151020000000000;1.7.1.8.01.5.1.02.00.00;201;178,96;14,34;0,00;5,59;26,37;73,45;2,42;76,16;1.029,66;2.851,48;0,00;0,00;73,81;25,00;201,90;20,69;2.339,40;534,77;0;20
17180151030000000000;1.7.1.8.01.5.1.03.00.00;201;536,88;43,04;0,00;16,77;79,09;220,35;7,25;228,51;3.088,96;8.554,47;0,00;0,00;221,42;75,01;605,68;62,08;7.018,22;1.604,31;0;40
17180151040000000000;1.7.1.8.01.5.1.04.00.00;201;715,85;57,38;0,00;22,36;105,44;293,80;9,67;304,67;4.118,61;11.405,98;0,00;0,00;295,21;100,01;807,57;82,78;9.357,62;2.139,10;0;31
17180200000000000000;1.7.1.8.02.0.0.00.00.00;201;9.782,84;9.614,89;9.354,46;8.625,55;10.959,94;11.095,95;12.081,88;9.599,63;10.552,64;10.430,12;0,00;0,00;23.755,07;22.165,17;22.684,23;27.121,08;26.458,44;25.085,81;0;0
17180220000000000000;1.7.1.8.02.2.0.00.00.00;201;0,00;0,00;0,00;130,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
17180221000000000000;1.7.1.8.02.2.1.00.00.00;201;0,00;0,00;0,00;130,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
17180260000000000000;1.7.1.8.02.6.0.00.00.00;201;9.782,84;9.614,89;9.354,46;8.494,80;10.959,94;11.095,95;12.081,88;9.599,63;10.552,64;10.430,12;0,00;0,00;23.755,07;22.165,17;22.684,23;27.121,08;26.458,44;25.085,81;0;0
17180261000000000000;1.7.1.8.02.6.1.00.00.00;201;9.782,84;9.614,89;9.354,46;8.494,80;10.959,94;11.095,95;12.081,88;9.599,63;10.552,64;10.430,12;0,00;0,00;23.755,07;22.165,17;22.684,23;27.121,08;26.458,44;25.085,81;0;1
17180300000000000000;1.7.1.8.03.0.0.00.00.00;201;24.008,46;72.631,65;72.631,65;76.631,65;73.855,65;73.422,86;72.422,86;72.422,86;74.422,86;102.813,86;0,00;0,00;114.910,58;117.118,07;114.910,58;114.910,58;114.910,58;114.910,63;0;0
17180310000000000000;1.7.1.8.03.1.0.00.00.00;201;20.150,16;63.740,16;63.740,16;63.740,16;63.740,16;63.531,37;63.531,37;63.531,37;63.531,37;81.783,31;0,00;0,00;100.477,16;100.477,16;100.477,16;100.477,16;100.477,16;100.477,16;0;0
17180311000000000000;1.7.1.8.03.1.1.00.00.00;201;20.150,16;63.740,16;63.740,16;63.740,16;63.740,16;63.531,37;63.531,37;63.531,37;63.531,37;81.783,31;0,00;0,00;100.477,16;100.477,16;100.477,16;100.477,16;100.477,16;100.477,16;0;4500
