orgao;uniorcam;funcao;subfuncao;programa;projativ;elemento;elemento_f;rv;dot_inicial;atualiz_monet;cred_suplem;cred_especial;cred_extraord;reducoes;suplem_rv;reduc_rv;empenhado;liquidado;pago;limitado;recomposto;prev_ate_termino
9;902;8;244;11;2085;449052;"44 90 52";1;500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;500,00
9;902;8;244;11;2085;449052;"44 90 52";1067;0,00;0,00;2.000,00;0,00;0,00;0,00;0,00;0,00;1.845,00;1.845,00;1.845,00;0,00;0,00;2.000,00
9;902;8;244;11;2086;339030;"33 90 30";1;5.000,00;0,00;0,00;0,00;0,00;2.300,00;0,00;0,00;1.582,47;1.582,47;1.582,47;0,00;0,00;2.700,00
9;902;8;244;11;2086;339039;"33 90 39";1;5.000,00;0,00;0,00;0,00;0,00;3.500,00;0,00;0,00;1.200,00;1.200,00;1.200,00;0,00;0,00;1.500,00
9;902;8;244;11;2087;339030;"33 90 30";1;1.000,00;0,00;0,00;0,00;0,00;1.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
9;902;8;244;11;2087;339039;"33 90 39";1;500,00;0,00;0,00;0,00;0,00;500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
9;902;8;331;1;28;339046;"33 90 46";1;28.665,00;0,00;13.000,00;0,00;0,00;0,00;0,00;0,00;33.331,12;33.331,12;28.911,12;0,00;0,00;41.665,00
9;903;16;481;16;2088;339032;"33 90 32";1;6.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.000,00
9;903;16;481;16;2088;339048;"33 90 48";1;5.000,00;0,00;0,00;0,00;0,00;5.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
9;903;16;482;16;2089;339032;"33 90 32";1;6.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.000,00
9;903;16;482;16;2089;339048;"33 90 48";1;32.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31.785,14;26.556,90;26.556,90;0,00;0,00;32.000,00
10;1001;20;122;1;2090;319011;"31 90 11";1;221.692,00;0,00;58.000,00;0,00;0,00;2.000,00;0,00;0,00;267.702,46;267.702,46;267.702,46;0,00;0,00;277.692,00
10;1001;20;122;1;2090;319013;"31 90 13";1;17.763,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13.731,73;13.731,73;12.044,23;0,00;0,00;17.763,00
10;1001;20;122;1;2090;319016;"31 90 16";1;12.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11.446,60;11.446,60;11.446,60;0,00;0,00;12.000,00
10;1001;20;122;1;2090;319094;"31 90 94";1;500,00;0,00;2.000,00;0,00;0,00;0,00;0,00;0,00;1.715,87;1.715,87;1.715,87;0,00;0,00;2.500,00
10;1001;20;122;1;2090;319113;"31 91 13";1;35.175,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28.264,02;28.264,02;25.064,67;0,00;0,00;35.175,00
10;1001;20;122;1;2090;339014;"33 90 14";1;1.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.393,30;1.393,30;1.393,30;0,00;0,00;1.500,00
10;1001;20;122;1;2090;339030;"33 90 30";1;5.000,00;0,00;3.400,00;0,00;0,00;0,00;0,00;0,00;6.424,97;4.312,95;4.312,95;0,00;0,00;8.400,00
10;1001;20;122;1;2090;339036;"33 90 36";1;500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;500,00
10;1001;20;122;1;2090;339039;"33 90 39";1;8.000,00;0,00;2.900,00;0,00;0,00;1.000,00;0,00;0,00;9.722,38;7.988,71;7.934,94;0,00;0,00;9.900,00
10;1001;20;122;1;2090;339040;"33 90 40";1;2.000,00;0,00;0,00;0,00;0,00;1.400,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;600,00
10;1001;20;122;1;2090;449052;"44 90 52";1;500,00;0,00;12.550,00;0,00;0,00;0,00;0,00;0,00;13.045,00;12.460,00;12.460,00;0,00;0,00;13.050,00
10;1001;20;331;1;29;339046;"33 90 46";1;28.038,00;0,00;10.000,00;0,00;0,00;0,00;0,00;0,00;30.628,08;30.628,08;26.568,08;0,00;0,00;38.038,00
10;1002;20;606;4;2091;339014;"33 90 14";1;1.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.000,00
10;1002;20;606;4;2091;339030;"33 90 30";1;1.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;79,85;79,85;79,85;0,00;0,00;1.000,00
10;1002;20;606;4;2091;339033;"33 90 33";1;2.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.000,00
10;1002;20;606;4;2091;339036;"33 90 36";1;1.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.000,00
10;1002;20;606;4;2091;339039;"33 90 39";1;3.000,00;0,00;0,00;0,00;0,00;1.150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.850,00
10;1002;20;607;4;2092;339030;"33 90 30";1;250,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;250,00
10;1002;20;607;4;2092;339032;"33 90 32";1;5.000,00;0,00;0,00;0,00;0,00;5.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;1002;20;607;4;2092;339039;"33 90 39";1;250,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;250,00
10;1002;20;607;4;2092;339048;"33 90 48";1;250,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;250,00
10;1002;20;608;4;4;333041;"33 30 41";1;35.000,00;0,00;36.007,00;0,00;0,00;0,00;0,00;0,00;70.886,72;70.886,72;70.886,72;0,00;0,00;71.007,00
10;1002;20;608;4;1053;449052;"44 90 52";1;10.000,00;0,00;0,00;0,00;0,00;10.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;1002;20;608;4;1126;449052;"44 90 52";1;0,00;0,00;0,00;5.500,00;0,00;0,00;0,00;0,00;671,50;190,00;190,00;0,00;0,00;5.500,00
10;1002;20;608;4;1126;449052;"44 90 52";1206;0,00;0,00;0,00;185.225,05;0,00;0,00;0,00;0,00;154.610,00;54.610,00;54.610,00;0,00;0,00;185.225,05
10;1002;20;608;4;1127;449052;"44 90 52";1;0,00;0,00;1.150,00;16.883,17;0,00;0,00;0,00;0,00;18.028,00;1.190,00;1.190,00;0,00;0,00;18.033,17
10;1002;20;608;4;1127;449052;"44 90 52";1207;0,00;0,00;0,00;117.416,83;0,00;0,00;0,00;0,00;73.140,50;54.410,00;54.410,00;0,00;0,00;117.416,83
10;1002;20;608;4;2093;339030;"33 90 30";1;1.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;266,80;266,80;266,80;0,00;0,00;1.000,00
10;1002;20;608;4;2093;339039;"33 90 39";1;1.200,00;0,00;1.600,00;0,00;0,00;0,00;0,00;0,00;1.600,00;1.600,00;1.600,00;0,00;0,00;2.800,00
10;1002;20;608;4;2094;339030;"33 90 30";1;100.000,00;0,00;0,00;0,00;0,00;15.367,00;0,00;0,00;79.357,41;70.267,96;70.267,96;0,00;0,00;84.633,00
10;1002;20;608;4;2094;339039;"33 90 39";1;100.000,00;0,00;0,00;0,00;0,00;1.600,00;0,00;0,00;93.167,49;63.903,71;63.903,71;0,00;0,00;98.400,00
10;1002;20;608;4;2095;339030;"33 90 30";1;20.000,00;0,00;0,00;0,00;0,00;20.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;1002;20;608;4;2095;339032;"33 90 32";1;50.000,00;0,00;40.000,00;0,00;0,00;20.000,00;0,00;0,00;68.716,50;68.716,50;68.716,50;0,00;0,00;70.000,00
10;1002;20;608;4;2095;339039;"33 90 39";1;20.000,00;0,00;0,00;0,00;0,00;15.000,00;0,00;0,00;1.579,50;1.579,50;1.579,50;0,00;0,00;5.000,00
10;1002;20;608;4;2096;339030;"33 90 30";1;10.000,00;0,00;0,00;0,00;0,00;10.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;1002;20;608;4;2096;339039;"33 90 39";1;5.000,00;0,00;0,00;0,00;0,00;5.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;1002;20;608;4;2097;339030;"33 90 30";1;20.000,00;0,00;0,00;0,00;0,00;20.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;1002;20;608;4;2097;339032;"33 90 32";1;20.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19.994,00;14.989,00;14.989,00;0,00;0,00;20.000,00
10;1002;20;608;4;2097;339039;"33 90 39";1;20.000,00;0,00;0,00;0,00;0,00;16.900,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.100,00
10;1002;20;608;4;2097;339048;"33 90 48";1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;1002;20;608;4;2098;339030;"33 90 30";1;30.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28.359,96;22.982,36;22.982,36;0,00;0,00;30.000,00
10;1002;20;608;4;2098;339039;"33 90 39";1;30.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28.222,10;21.235,50;21.235,50;0,00;0,00;30.000,00
10;1002;20;608;4;2099;339030;"33 90 30";1;5.000,00;0,00;0,00;0,00;0,00;5.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;1002;20;608;4;2099;339032;"33 90 32";1;5.000,00;0,00;0,00;0,00;0,00;5.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;1002;20;608;4;2099;339039;"33 90 39";1;5.000,00;0,00;0,00;0,00;0,00;5.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;1002;20;608;4;2100;339030;"33 90 30";1;2.500,00;0,00;0,00;0,00;0,00;2.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;1002;20;608;4;2100;339032;"33 90 32";1;2.500,00;0,00;0,00;0,00;0,00;2.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;1002;20;608;4;2100;339039;"33 90 39";1;2.500,00;0,00;0,00;0,00;0,00;2.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;1002;20;608;4;2100;339048;"33 90 48";1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;1003;22;661;4;18;336045;"33 60 45";1;18.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18.000,00;13.500,00;13.500,00;0,00;0,00;18.000,00
10;1003;22;661;4;31;336045;"33 60 45";1;0,00;0,00;0,00;6.000,00;0,00;0,00;0,00;0,00;6.000,00;1.500,00;1.500,00;0,00;0,00;6.000,00
10;1003;22;661;4;1054;449030;"44 90 30";1;5.000,00;0,00;17.277,00;0,00;0,00;0,00;0,00;0,00;22.257,00;21.069,00;21.069,00;0,00;0,00;22.277,00
10;1003;22;661;4;1054;449039;"44 90 39";1;5.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.180,00;4.180,00;4.180,00;0,00;0,00;5.000,00
10;1003;22;661;4;1054;449051;"44 90 51";1;20.000,00;0,00;0,00;0,00;0,00;13.677,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.323,00
10;1003;22;661;4;2101;339030;"33 90 30";1;500,00;0,00;0,00;0,00;0,00;500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;1003;22;661;4;2101;339039;"33 90 39";1;1.500,00;0,00;0,00;0,00;0,00;1.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;1003;23;691;4;1081;335041;"33 50 41";1;0,00;0,00;10.000,00;40.000,00;0,00;0,00;0,00;0,00;50.000,00;50.000,00;50.000,00;0,00;0,00;50.000,00
10;1003;23;691;4;2102;339031;"33 90 31";1;8.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.500,00;7.500,00;7.500,00;0,00;0,00;8.000,00
10;1004;17;511;12;1055;339030;"33 90 30";1;25.000,00;0,00;0,00;0,00;0,00;16.000,00;0,00;0,00;5.570,00;5.570,00;5.570,00;0,00;0,00;9.000,00
10;1004;17;511;12;1056;449030;"44 90 30";1;25.000,00;0,00;17.000,00;0,00;0,00;6.849,24;0,00;0,00;33.826,05;28.869,61;28.869,61;0,00;0,00;35.150,76
10;1004;17;511;12;1056;449039;"44 90 39";1;25.000,00;0,00;0,00;0,00;0,00;3.216,00;0,00;0,00;21.784,00;21.784,00;21.784,00;0,00;0,00;21.784,00
10;1004;17;511;12;1056;449051;"44 90 51";1;50.000,00;0,00;40.000,00;0,00;0,00;29.933,40;0,00;0,00;60.066,60;60.066,60;60.066,60;0,00;0,00;60.066,60
10;1004;17;511;12;1082;449030;"44 90 30";1;0,00;0,00;0,00;6.849,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.849,24
10;1004;17;511;12;1082;449039;"44 90 39";1;0,00;0,00;0,00;3.216,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.216,00
10;1004;17;511;12;1082;449051;"44 90 51";1;0,00;0,00;0,00;29.933,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29.933,40
10;1004;17;511;12;1128;449052;"44 90 52";1;0,00;0,00;0,00;55.000,00;0,00;55.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;1004;17;511;12;2103;339030;"33 90 30";1;10.000,00;0,00;3.360,00;0,00;0,00;0,00;0,00;0,00;12.568,60;12.568,60;12.568,60;0,00;0,00;13.360,00
10;1004;17;511;12;2103;339032;"33 90 32";1;15.000,00;0,00;0,00;0,00;0,00;15.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;1004;17;511;12;2103;339039;"33 90 39";1;6.000,00;0,00;8.000,00;0,00;0,00;0,00;0,00;0,00;13.564,83;13.564,83;13.564,83;0,00;0,00;14.000,00
10;1005;6;182;14;15;335041;"33 50 41";1;3.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.000,00;3.000,00;3.000,00;0,00;0,00;3.000,00
10;1005;6;182;14;2104;339030;"33 90 30";1;1.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.000,00
10;1005;6;182;14;2104;339032;"33 90 32";1;3.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.000,00
10;1005;6;182;14;2104;339039;"33 90 39";1;1.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.000,00
10;1006;18;541;13;2105;339030;"33 90 30";1;661,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;661,71
10;1006;18;541;13;2105;339030;"33 90 30";1005;1.338,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;300,00;300,00;300,00;0,00;0,00;1.338,29
10;1006;18;541;13;2105;339031;"33 90 31";1;4.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.000,00
10;1006;18;541;13;2105;339031;"33 90 31";1005;0,00;0,00;4.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.000,00
10;1006;18;541;13;2105;339039;"33 90 39";1;8.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.525,00;1.525,00;1.525,00;0,00;0,00;8.000,00
10;1006;18;543;13;2106;339030;"33 90 30";1;1.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.000,00
10;1006;18;543;13;2106;339032;"33 90 32";1;2.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.000,00
10;1006;18;543;13;2106;339039;"33 90 39";1;1.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.000,00
11;1101;4;122;0;2;337170;"33 71 70";1;19.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14.813,40;11.110,05;11.110,05;0,00;0,00;19.000,00
11;1101;4;122;0;3;339039;"33 90 39";1;20.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18.067,20;13.550,40;13.550,40;0,00;0,00;20.000,00
11;1101;28;843;0;5;469171;"46 91 71";1;136.129,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;134.261,88;134.261,88;134.261,88;0,00;0,00;136.129,35
11;1101;28;846;0;6;339093;"33 90 93";1;500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;500,00
11;1101;28;846;0;6;449093;"44 90 93";1;500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;500,00
11;1101;28;846;0;7;339047;"33 90 47";1;250.000,00;0,00;121.000,00;0,00;0,00;0,00;0,00;0,00;364.141,53;255.307,54;234.589,64;0,00;0,00;371.000,00
11;1101;28;846;0;7;339047;"33 90 47";1018;0,00;0,00;300,00;0,00;0,00;200,00;0,00;0,00;93,00;93,00;93,00;0,00;0,00;100,00
11;1101;28;846;0;8;319091;"31 90 91";1;430.000,00;0,00;6.000,00;0,00;0,00;0,00;0,00;0,00;435.251,66;435.251,66;435.251,66;0,00;0,00;436.000,00
11;1101;28;846;0;8;339091;"33 90 91";1;20.000,00;0,00;0,00;0,00;0,00;6.000,00;0,00;0,00;10.463,95;10.463,95;10.463,95;0,00;0,00;14.000,00
11;1101;28;846;0;9;319113;"31 91 13";1;1.379.854,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.059.653,75;1.059.653,75;952.794,82;0,00;0,00;1.379.854,00
11;1101;28;846;2;801;335041;"33 50 41";1;19.250,00;0,00;0,00;0,00;0,00;19.250,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
11;1101;28;846;2;802;335041;"33 50 41";1;7.250,00;0,00;0,00;0,00;0,00;7.250,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
11;1101;99;999;9999;10;999999;"99 99 99";1;231.000,00;0,00;0,00;0,00;0,00;213.300,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17.700,00
11;1101;99;999;9999;10;999999;"99 99 99";1050;407,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;407,28
12;1201;9;122;1;2107;339014;"33 90 14";50;12.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;835,98;835,98;835,98;0,00;0,00;12.000,00
12;1201;9;122;1;2107;339035;"33 90 35";50;16.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13.000,00;7.923,33;7.273,33;0,00;0,00;16.000,00
12;1201;9;122;1;2107;339036;"33 90 36";50;12.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.600,00;6.600,00;6.600,00;0,00;0,00;12.000,00
12;1201;9;122;1;2107;339039;"33 90 39";50;12.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.755,00;1.755,00;1.755,00;0,00;0,00;12.000,00
12;1201;9;122;1;2107;339040;"33 90 40";50;2.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.000,00
12;1201;9;272;20;11;319001;"31 90 01";50;1.396.680,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.330.103,56;1.330.103,56;1.330.103,56;0,00;0,00;1.396.680,00
12;1201;9;272;20;12;319003;"31 90 03";50;586.155,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;257.929,13;257.929,13;257.929,13;0,00;0,00;586.155,00
12;1201;9;272;20;13;319005;"31 90 05";50;456.750,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;335.177,79;335.177,79;335.177,79;0,00;0,00;456.750,00
12;1201;99;997;9999;14;999999;"99 99 99";50;2.937.811,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.937.811,36
1;101;1;31;15;2001;319011;"31 90 11";1;472.235,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;369.768,00;369.768,00;369.768,00;0,00;0,00;472.235,00
1;101;1;31;15;2001;319013;"31 90 13";1;99.169,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;80.158,97;80.158,97;72.636,01;0,00;0,00;99.169,00
1;101;1;31;15;2001;339014;"33 90 14";1;100.000,00;0,00;0,00;0,00;0,00;21.000,00;0,00;0,00;60.060,34;60.060,34;57.263,98;0,00;0,00;79.000,00
1;101;1;31;15;2001;339030;"33 90 30";1;3.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;374,00;374,00;374,00;0,00;0,00;3.000,00
1;101;1;31;15;2001;339035;"33 90 35";1;20.000,00;0,00;0,00;0,00;0,00;20.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;101;1;31;15;2001;339036;"33 90 36";1;3.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.000,00
1;101;1;31;15;2001;339039;"33 90 39";1;50.000,00;0,00;0,00;0,00;0,00;20.000,00;0,00;0,00;21.910,00;21.910,00;20.670,00;0,00;0,00;30.000,00
1;101;1;31;15;2001;339040;"33 90 40";1;20.000,00;0,00;0,00;0,00;0,00;13.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.000,00
1;101;1;31;15;2001;339092;"33 90 92";1;0,00;0,00;0,00;12.000,00;0,00;0,00;0,00;0,00;11.941,20;11.941,20;11.941,20;0,00;0,00;12.000,00
1;101;1;31;15;2001;339093;"33 90 93";1;40.000,00;0,00;0,00;0,00;0,00;15.000,00;0,00;0,00;17.809,23;16.723,63;16.723,63;0,00;0,00;25.000,00
1;101;1;31;15;2001;449052;"44 90 52";1;30.000,00;0,00;0,00;0,00;0,00;12.000,00;0,00;0,00;6.150,00;6.150,00;6.150,00;0,00;0,00;18.000,00
1;101;1;122;15;2002;319011;"31 90 11";1;213.365,00;0,00;0,00;0,00;0,00;2.000,00;0,00;0,00;159.708,94;159.708,94;159.708,94;0,00;0,00;211.365,00
1;101;1;122;15;2002;319013;"31 90 13";1;29.504,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22.696,51;22.696,51;20.522,19;0,00;0,00;29.504,00
1;101;1;122;15;2002;319016;"31 90 16";1;500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;500,00
1;101;1;122;15;2002;319094;"31 90 94";1;500,00;0,00;2.000,00;0,00;0,00;0,00;0,00;0,00;2.004,58;2.004,58;2.004,58;0,00;0,00;2.500,00
1;101;1;122;15;2002;319113;"31 91 13";1;9.412,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.153,67;7.153,67;6.427,15;0,00;0,00;9.412,00
1;101;1;122;15;2002;339014;"33 90 14";1;40.000,00;0,00;0,00;0,00;0,00;20.000,00;0,00;0,00;12.783,36;12.783,36;11.385,18;0,00;0,00;20.000,00
1;101;1;122;15;2002;339030;"33 90 30";1;40.000,00;0,00;0,00;0,00;0,00;20.000,00;0,00;0,00;4.901,51;4.663,66;4.663,66;0,00;0,00;20.000,00
1;101;1;122;15;2002;339035;"33 90 35";1;30.000,00;0,00;0,00;0,00;0,00;12.000,00;0,00;0,00;7.500,00;6.000,00;6.000,00;0,00;0,00;18.000,00
1;101;1;122;15;2002;339036;"33 90 36";1;7.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,90;18,90;18,90;0,00;0,00;7.000,00
1;101;1;122;15;2002;339039;"33 90 39";1;70.000,00;0,00;0,00;0,00;0,00;40.000,00;0,00;0,00;20.684,53;9.616,04;8.996,04;0,00;0,00;30.000,00
1;101;1;122;15;2002;339040;"33 90 40";1;20.000,00;0,00;0,00;0,00;0,00;8.000,00;0,00;0,00;6.474,40;4.876,76;4.876,76;0,00;0,00;12.000,00
1;101;1;122;15;2002;339046;"33 90 46";1;16.234,00;0,00;6.000,00;0,00;0,00;0,00;0,00;0,00;16.139,12;16.139,12;13.999,12;0,00;0,00;22.234,00
1;101;1;122;15;2002;339093;"33 90 93";1;7.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;413,55;413,55;413,55;0,00;0,00;7.000,00
1;101;1;122;15;2002;449052;"44 90 52";1;40.000,00;0,00;3.000,00;0,00;0,00;20.000,00;0,00;0,00;21.321,00;21.321,00;21.321,00;0,00;0,00;23.000,00
